Name	Freq	Offset att	All	None	20170609
K000	52498812	0	1	0	0
K001	62131832	0	1	0	0
K002	63550719	0	1	0	0
K003	83460163	0	1	0	1
K004	85067167	0	1	0	0
K005	85860663	0	1	0	0
K006	87190494	0	1	0	0
K007	88651407	0	1	0	0
K008	90281426	0	1	0	0
K009	92259662	0	1	0	0
K010	94347967	0	1	0	1
K011	98401501	0	1	0	0
K012	99447154	0	1	0	0
K013	100252658	0	1	0	0
K014	101675547	0	1	0	0
K015	102169856	0	1	0	0
K016	102318949	0	1	0	0
K017	103635772	0	1	0	0
K018	103797874	0	1	0	0
K019	104218136	0	1	0	0
K020	104463290	0	1	0	0
K021	105115697	0	1	0	0
K022	106200375	0	1	0	0
K023	107355097	0	1	0	0
K024	108650907	0	1	0	0
K025	109553471	0	1	0	0
K026	111405629	0	1	0	0
K027	111436648	0	1	0	0
K028	116484803	0	1	0	1
K029	117647530	0	1	0	0
K030	119371607	0	1	0	0
K031	120940588	0	1	0	0
K032	123165979	0	1	0	0
K033	125445403	0	1	0	0
K034	128149093	0	1	0	0
K035	131397123	0	1	0	0
K036	131535210	0	1	0	0
K037	135019387	0	1	0	0
K038	136920575	0	1	0	1
K039	138110319	0	1	0	0
K040	138398499	0	1	0	0
K041	139964478	0	1	0	0
K042	141134209	0	1	0	0
K043	142798249	0	1	0	0
K044	143469669	0	1	0	0
K045	143506692	0	1	0	0
K046	145198749	0	1	0	0
K047	146959850	0	1	0	0
K048	148438774	0	1	0	0
K049	149991745	0	1	0	0
K050	151433646	0	1	0	1
K051	153100688	0	1	0	0
K052	153226767	0	1	0	0
K053	153845153	0	1	0	0
