CMDLINE /usr/bin/python2.7 test_script.py
MEM 1.191406 1553518346.3301
MEM 25.484375 1553518346.4426
MEM 42.539062 1553518346.5552
MEM 46.707031 1553518346.6672
MEM 67.554688 1553518346.7796
MEM 86.210938 1553518346.8922
MEM 180.152344 1553518347.0044
MEM 180.152344 1553518347.1168
MEM 180.277344 1553518347.2285
MEM 180.285156 1553518347.3398
MEM 180.285156 1553518347.4509
MEM 181.269531 1553518347.5635
MEM 516.882812 1553518347.6769
MEM 859.824219 1553518347.7915
MEM 1035.785156 1553518347.9050
MEM 1040.304688 1553518348.0178
MEM 1043.210938 1553518348.1353
MEM 1045.628906 1553518348.2488
MEM 1047.625000 1553518348.3624
MEM 1049.535156 1553518348.4760
MEM 1051.445312 1553518348.5900
MEM 1053.011719 1553518348.7033
MEM 1051.949219 1553518348.8168
MEM 1053.410156 1553518348.9298
MEM 1054.437500 1553518349.0429
MEM 1055.210938 1553518349.1561
MEM 1075.371094 1553518349.2695
MEM 1105.019531 1553518349.3826
MEM 1129.734375 1553518349.4963
MEM 1116.382812 1553518349.6099
MEM 1136.308594 1553518349.7234
MEM 1127.433594 1553518349.8372
MEM 1148.785156 1553518349.9511
MEM 1145.191406 1553518350.0646
MEM 1167.921875 1553518350.1788
MEM 1155.105469 1553518350.2943
MEM 1156.125000 1553518350.4089
MEM 1129.375000 1553518350.5235
MEM 1134.300781 1553518350.6375
MEM 1153.988281 1553518350.7515
MEM 1187.484375 1553518350.8646
MEM 1211.601562 1553518350.9777
MEM 1232.347656 1553518351.0919
MEM 1210.320312 1553518351.2063
MEM 1231.632812 1553518351.3221
MEM 1207.105469 1553518351.4365
MEM 1230.363281 1553518351.5499
MEM 1269.945312 1553518351.6728
MEM 1265.187500 1553518351.7945
MEM 1286.738281 1553518351.9150
MEM 1262.074219 1553518352.0356
MEM 1203.578125 1553518352.1498
MEM 1213.617188 1553518352.2638
MEM 1200.640625 1553518352.3784
MEM 1214.078125 1553518352.4923
MEM 1229.593750 1553518352.6062
MEM 1218.394531 1553518352.7207
MEM 1233.910156 1553518352.8352
MEM 1211.046875 1553518352.9488
MEM 1211.820312 1553518353.0631
MEM 1194.257812 1553518353.1765
MEM 1227.546875 1553518353.2978
MEM 1272.964844 1553518353.4196
MEM 1293.367188 1553518353.5398
MEM 1241.085938 1553518353.6536
MEM 1242.375000 1553518353.7679
MEM 1243.921875 1553518353.8819
MEM 1211.449219 1553518353.9953
MEM 1232.531250 1553518354.1127
MEM 1274.843750 1553518354.2340
MEM 1312.207031 1553518354.3552
MEM 1333.281250 1553518354.4745
MEM 1275.093750 1553518354.5945
MEM 1300.996094 1553518354.7138
MEM 1282.250000 1553518354.8273
MEM 1271.382812 1553518354.9403
MEM 1274.156250 1553518355.0540
MEM 1289.421875 1553518355.1679
MEM 1264.000000 1553518355.2818
MEM 1279.015625 1553518355.3950
MEM 1265.531250 1553518355.5086
