name	freq	power	offset	att	all	none
K000	516547515	0	0	1	0	0
K001	517442097	0	0	1	0	0
K002	517685097	0	0	1	0	0
K003	518227247	0	0	1	0	0
K004	519667415	0	0	1	0	0
K005	520515856	0	0	1	0	0
K006	522937617	0	0	1	0	0
K007	525891025	0	0	1	0	0
K008	526053657	0	0	1	0	0
K009	528942849	0	0	1	0	0
K010	529949027	0	0	1	0	0
K011	531196453	0	0	1	0	0
K012	533958821	0	0	1	0	0
K013	534620494	0	0	1	0	0
K014	537643880	0	0	1	0	0
K015	539963894	0	0	1	0	0
K016	543263297	0	0	1	0	0
K017	544317190	0	0	1	0	0
K018	544709267	0	0	1	0	0
K019	547800225	0	0	1	0	0
K020	548847764	0	0	1	0	0
K021	552729695	0	0	1	0	0
K022	555150358	0	0	1	0	0
K023	556678380	0	0	1	0	0
K024	557307033	0	0	1	0	0
K025	557534996	0	0	1	0	0
K026	557997996	0	0	1	0	0
K027	558108845	0	0	1	0	0
K028	560776770	0	0	1	0	0
K029	563164456	0	0	1	0	0
K030	566267880	0	0	1	0	0
K031	566672880	0	0	1	0	0
K032	567049794	0	0	1	0	0
K033	567337599	0	0	1	0	0
K034	568245013	0	0	1	0	0
K035	568545013	0	0	1	0	0
K036	571128245	0	0	1	0	0
K037	572503507	0	0	1	0	0
K038	574937517	0	0	1	0	0
K039	575903559	0	0	1	0	0
K040	579392767	0	0	1	0	0
K041	582724801	0	0	1	0	0
K042	583000801	0	0	1	0	0
K043	586580089	0	0	1	0	0
K044	588058125	0	0	1	0	0
K045	588909979	0	0	1	0	0
K046	590649245	0	0	1	0	0
K047	595303024	0	0	1	0	0
K048	598126273	0	0	1	0	0
K049	600129266	0	0	1	0	0
K050	600731500	0	0	1	0	0
K051	601308500	0	0	1	0	0
K052	601808267	0	0	1	0	0
K053	603470508	0	0	1	0	0
K054	605340039	0	0	1	0	0
K055	605638039	0	0	1	0	0
K056	606542807	0	0	1	0	0
K057	610038262	0	0	1	0	0
K058	615464326	0	0	1	0	0
K059	616653531	0	0	1	0	0
K060	623422045	0	0	1	0	0
K061	624911593	0	0	1	0	0
K062	624973391	0	0	1	0	0
K063	625816369	0	0	1	0	0
K064	627036536	0	0	1	0	0
K065	628373227	0	0	1	0	0
K066	632932213	0	0	1	0	0
K067	634755926	0	0	1	0	0
K068	635527899	0	0	1	0	0
K069	635938498	0	0	1	0	0
K070	638309202	0	0	1	0	0
K071	640252823	0	0	1	0	0
K072	641485590	0	0	1	0	0
K073	643200018	0	0	1	0	0
K074	646041402	0	0	1	0	0
K075	649290577	0	0	1	0	0
K076	652661763	0	0	1	0	0
K077	655579860	0	0	1	0	0
K078	658654230	0	0	1	0	0
K079	659396788	0	0	1	0	0
K080	661692141	0	0	1	0	0
K081	663960862	0	0	1	0	0
K082	667023705	0	0	1	0	0
K083	667956495	0	0	1	0	0
K084	674649330	0	0	1	0	0
K085	675297881	0	0	1	0	0
K086	675394881	0	0	1	0	0
K087	675786141	0	0	1	0	0
K088	676566508	0	0	1	0	0
K089	678613188	0	0	1	0	0
K090	681535502	0	0	1	0	0
K091	684325994	0	0	1	0	0
K092	687950365	0	0	1	0	0
K093	688431085	0	0	1	0	0
K094	689305474	0	0	1	0	0
K095	692794231	0	0	1	0	0
K096	697581256	0	0	1	0	0
K097	698579658	0	0	1	0	0
K098	702064373	0	0	1	0	0
K099	704832923	0	0	1	0	0
K100	708516440	0	0	1	0	0
K101	712504426	0	0	1	0	0
K102	715712335	0	0	1	0	0
K103	715948335	0	0	1	0	0
K104	716083335	0	0	1	0	0
K105	721132198	0	0	1	0	0
K106	725984713	0	0	1	0	0
K107	726751105	0	0	1	0	0
K108	727325158	0	0	1	0	0
K109	730812754	0	0	1	0	0
K110	731987494	0	0	1	0	0
K111	732100494	0	0	1	0	0
K112	733630808	0	0	1	0	0
K113	736368458	0	0	1	0	0
K114	738511814	0	0	1	0	0
K115	739209303	0	0	1	0	0
K116	742059353	0	0	1	0	0
K117	743686591	0	0	1	0	0
K118	744918793	0	0	1	0	0
K119	751500859	0	0	1	0	0
K120	760959898	0	0	1	0	0
K121	776205896	0	0	1	0	0
K122	777704091	0	0	1	0	0
K123	779145611	0	0	1	0	0
K124	779231611	0	0	1	0	0
K125	783722309	0	0	1	0	0
K126	787234301	0	0	1	0	0
K127	787538599	0	0	1	0	0
K128	788423601	0	0	1	0	0
K129	789592226	0	0	1	0	0
K130	789921226	0	0	1	0	0
K131	792281089	0	0	1	0	0
K132	795680280	0	0	1	0	0
K133	798607210	0	0	1	0	0
K134	801495195	0	0	1	0	0
K135	804042379	0	0	1	0	0
K136	808320568	0	0	1	0	0
K137	810406414	0	0	1	0	0
K138	811091004	0	0	1	0	0
K139	812319316	0	0	1	0	0
K140	814356204	0	0	1	0	0
K141	818014896	0	0	1	0	0
K142	821453939	0	0	1	0	0
K143	827562818	0	0	1	0	0
K144	828348972	0	0	1	0	0
K145	828979251	0	0	1	0	0
K146	830631689	0	0	1	0	0
K147	832466400	0	0	1	0	0
K148	836942486	0	0	1	0	0
K149	837268600	0	0	1	0	0
K150	837934662	0	0	1	0	0
K151	839070874	0	0	1	0	0
K152	841593197	0	0	1	0	0
K153	849206849	0	0	1	0	0
K154	855713492	0	0	1	0	0
K155	858087846	0	0	1	0	0
K156	861344865	0	0	1	0	0
K157	863231508	0	0	1	0	0
K158	866154266	0	0	1	0	0
K159	868509344	0	0	1	0	0
K160	870015309	0	0	1	0	0
K161	876054265	0	0	1	0	0
K162	881548044	0	0	1	0	0
K163	881735044	0	0	1	0	0
K164	881819044	0	0	1	0	0
K165	882653243	0	0	1	0	0
K166	883252548	0	0	1	0	0
K167	885617526	0	0	1	0	0
K168	887471122	0	0	1	0	0
K169	893166021	0	0	1	0	0
K170	893517719	0	0	1	0	0
K171	894670991	0	0	1	0	0
K172	896107638	0	0	1	0	0
K173	896623080	0	0	1	0	0
K174	896827506	0	0	1	0	0
K175	899893814	0	0	1	0	0
K176	904969264	0	0	1	0	0
K177	918632176	0	0	1	0	0
K178	920437394	0	0	1	0	0
K179	922542809	0	0	1	0	0
K180	922791962	0	0	1	0	0
K181	923626460	0	0	1	0	0
K182	928206936	0	0	1	0	0
K183	929092936	0	0	1	0	0
K184	930771205	0	0	1	0	0
K185	932719724	0	0	1	0	0
K186	939175582	0	0	1	0	0
K187	940743698	0	0	1	0	0
K188	942331844	0	0	1	0	0
K189	942958844	0	0	1	0	0
K190	945577717	0	0	1	0	0
K191	946055717	0	0	1	0	0
K192	948351191	0	0	1	0	0
K193	949893425	0	0	1	0	0
K194	950035425	0	0	1	0	0
K195	952714080	0	0	1	0	0
K196	954427575	0	0	1	0	0
K197	955086593	0	0	1	0	0
K198	956549567	0	0	1	0	0
K199	957919418	0	0	1	0	0
K200	964466492	0	0	1	0	0
K201	965302316	0	0	1	0	0
K202	969246774	0	0	1	0	0
K203	971039821	0	0	1	0	0
K204	977401076	0	0	1	0	0
K205	977663076	0	0	1	0	0
K206	982450438	0	0	1	0	0
K207	984902139	0	0	1	0	0
K208	986795267	0	0	1	0	0
K209	990101525	0	0	1	0	0
K210	994564785	0	0	1	0	0
K211	994904785	0	0	1	0	0
K212	998137610	0	0	1	0	0
K213	998337610	0	0	1	0	0
K214	1001322779	0	0	1	0	0
